2022 Rank,Airport,IATA,ICAO,2022 Enplaned Passengers,2022 Originating Domestic Passengers,Flights Per Year,Delays,Canceled,Avg. Delay (Mins),Security Delay (Mins),Latitude,Longitude,State,Elevation
1,Hartsfield Jackson Atlanta International Airport,ATL,KATL,45372100.0,1088364,"362,713",0.168,0.006999999999999999,11.1,0.06,33.6367,-84.428101,Georgia,1026
2,Dallas Fort Worth International Airport,DFW,KDFW,35329400.0,859264,"278,828",0.223,0.027999999999999997,15.7,0.03,32.896801,-97.038002,Texas,607
3,Denver International Airport,DEN,KDEN,33749900.0,1138192,"230,693",0.226,0.02,16.0,0.04,39.861698150635,-104.672996521,Colorado,5431
4,Chicago O'Hare International Airport,ORD,KORD,33100400.0,1085583,"312,159",0.228,0.033,17.6,0.02,41.9786,-87.9048,Illinois,672
5,Los Angeles International Airport,LAX,KLAX,32271400.0,1324394,"201,287",0.185,0.013000000000000001,12.7,0.15,33.942501,-118.407997,California,125
6,John F Kennedy International Airport,JFK,KJFK,26923300.0,763958,"116,695",0.18600000000000003,0.017,15.8,0.12,40.639801,-73.7789,New York,13
7,McCarran International Airport,LAS,KLAS,25264700.0,829770,"150,794",0.19699999999999998,0.013000000000000001,13.1,0.05,36.08010101,-115.1520004,Nevada,2181
8,Orlando International Airport,MCO,KMCO,24431300.0,925518,"130,016",0.215,0.018000000000000002,16.7,0.43,28.429399490356445,-81.30899810791016,Florida,96
9,Miami International Airport,MIA,KMIA,23673000.0,537910,"80,840",0.192,0.013000000000000001,14.1,0.1,25.79319953918457,-80.29060363769531,Florida,8
10,Charlotte Douglas International Airport,CLT,KCLT,23085500.0,409225,"215,748",0.195,0.017,13.6,0.19,35.2140007019043,-80.94309997558594,North Carolina,748
11,Seattle Tacoma International Airport,SEA,KSEA,22113500.0,908387,"130,541",0.16699999999999998,0.009000000000000001,10.7,0.07,47.449001,-122.308998,Washington,433
12,Phoenix Sky Harbor International Airport,PHX,KPHX,21791000.0,868167,"159,928",0.188,0.013999999999999999,12.1,0.13,33.435302,-112.005905,Arizona,1135
13,Newark Liberty International Airport,EWR,KEWR,21538400.0,919009,"124,520",0.249,0.027000000000000003,21.0,0.06,40.692501,-74.168701,New Jersey,18
14,San Francisco International Airport,SFO,KSFO,20401800.0,820323,"156,897",0.214,0.021,15.9,0.08,37.61899948120117,-122.375,California,13
15,George Bush Intercontinental Houston Airport,IAH,KIAH,19799400.0,606033,"164,466",0.193,0.015,15.7,0.03,29.984399795532227,-95.34140014648438,Texas,97
16,Logan International Airport,BOS,KBOS,17431800.0,919227,"137,991",0.207,0.02,16.8,0.06,42.3643,-71.005203,Massachusetts,20
17,Fort Lauderdale Hollywood International Airport,FLL,KFLL,15345900.0,605198,"89,100",0.222,0.013999999999999999,16.5,0.23,26.072599,-80.152702,Florida,9
18,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MSP,KMSP,15202700.0,655028,"148,165",0.15,0.011000000000000001,11.9,0.13,44.882,-93.221802,Minnesota,841
19,La Guardia Airport,LGA,KLGA,14366900.0,747533,"157,960",0.225,0.03,18.3,0.06,40.777199,-73.872597,New York,21
20,Detroit Metropolitan Wayne County Airport,DTW,KDTW,13725600.0,589164,"148,075",0.161,0.011000000000000001,13.1,0.13,42.212398529052734,-83.35340118408203,Michigan,645
21,Philadelphia International Airport,PHL,KPHL,12398600.0,612722,"109,468",0.17800000000000002,0.022000000000000002,13.8,0.08,39.87189865112305,-75.24109649658203,Pennsylvania,36
22,Salt Lake City International Airport,SLC,KSLC,12370400.0,464454,"105,043",0.134,0.004,10.2,0.02,40.785749,-111.979746,Utah,4227
23,Ronald Reagan Washington National Airport,DCA,KDCA,11533500.0,531181,"128,150",0.18,0.026000000000000002,14.4,0.05,38.8521,-77.037697,District of Columbia,15
24,San Diego International Airport,SAN,KSAN,11122100.0,605311,"85,744",0.16899999999999998,0.017,11.0,0.1,32.7336006165,-117.190002441,California,17
25,Baltimore/Washington International Thurgood Marshall Airport,BWI,KBWI,11063900.0,510849,"95,601",0.203,0.026000000000000002,13.1,0.26,39.1754,-76.668297,Maryland,146
26,Tampa International Airport,TPA,KTPA,10516300.0,547506,"69,352",0.18,0.015,13.7,0.04,27.975500106811523,-82.533203125,Florida,26
27,Austin Bergstrom International Airport,AUS,KAUS,10358100.0,520863,"61,222",0.17600000000000002,0.015,13.5,0.08,30.197535,-97.662015,Texas,542
28,Washington Dulles International Airport,IAD,KIAD,10239800.0,275957,"63,427",0.157,0.015,15.5,0.07,38.9445,-77.455803,District of Columbia,312
29,Nashville International Airport,BNA,KBNA,9805500.0,456900,"75,807",0.19399999999999998,0.017,13.8,0.06,36.1245002746582,-86.6781997680664,Tennessee,599
30,Chicago Midway International Airport,MDW,KMDW,9636200.0,389902,"76,906",0.263,0.040999999999999995,15.1,0.11,41.785999,-87.752403,Illinois,620
31,Daniel K Inouye International Airport,HNL,PHNL,8799800.0,345472,"47,342",0.1,0.002,6.9,1.64,21.32062,-157.924228,Hawaii,13
32,Dallas Love Field,DAL,KDAL,7756800.0,327518,"67,624",0.235,0.033,13.2,0.09,32.847099,-96.851799,Texas,487
33,Portland International Airport,PDX,KPDX,7233000.0,447280,"57,064",0.12300000000000001,0.006999999999999999,8.3,0.07,45.58869934,-122.5979996,Oregon,31
34,St Louis Lambert International Airport,STL,KSTL,6692700.0,341165,"62,730",0.21600000000000003,0.023,14.1,0.04,38.748697,-90.370003,Missouri,618
35,William P Hobby Airport,HOU,KHOU,6429000.0,252999,"55,433",0.245,0.033,14.1,0.22,29.64539909,-95.27890015,Texas,46
36,Sacramento International Airport,SMF,KSMF,6034500.0,390303,"46,990",0.141,0.015,8.9,0.1,38.69540023803711,-121.59100341796875,California,27
37,Louis Armstrong New Orleans International Airport,MSY,KMSY,5914300.0,290985,"53,363",0.192,0.02,13.7,0.2,29.99340057373047,-90.25800323486328,Louisiana,4
38,Raleigh Durham International Airport,RDU,KRDU,5829800.0,359980,"58,761",0.187,0.018000000000000002,15.3,0.05,35.877601623535156,-78.7874984741211,North Carolina,435
39,Norman Y. Mineta San Jose International Airport,SJC,KSJC,5577400.0,325744,"57,707",0.142,0.019,8.9,0.09,37.362598,-121.929001,California,62
40,John Wayne Airport-Orange County Airport,SNA,KSNA,5493600.0,306901,"37,356",0.15,0.012,10.0,0.04,33.675701,-117.867996,California,56
41,Metropolitan Oakland International Airport,OAK,KOAK,5424400.0,323701,"48,636",0.193,0.02,10.8,0.32,37.721298,-122.221001,California,9
42,Southwest Florida International Airport,RSW,KRSW,5125400.0,237339,"30,645",0.177,0.013000000000000001,15.0,0.02,26.53619956970215,-81.75520324707031,Florida,30
43,Luis Munoz Marin International Airport,SJU,TJSJ,5012200.0,255939,"24,234",0.209,0.009000000000000001,17.4,0.12,18.4393997192,-66.0018005371,(unassigned),9
44,Kansas City International Airport,MCI,KMCI,4784600.0,305067,"50,569",0.158,0.021,11.5,0.04,39.2976,-94.713898,Missouri,1026
45,San Antonio International Airport,SAT,KSAT,4725300.0,270392,"37,350",0.154,0.015,11.8,0.04,29.533701,-98.469803,Texas,809
46,Cleveland Hopkins International Airport,CLE,KCLE,4222300.0,285126,"45,686",0.16899999999999998,0.023,14.2,0.05,41.4117012024,-81.8498001099,Ohio,791
47,Indianapolis International Airport,IND,KIND,4180500.0000000005,278800,"44,994",0.157,0.02,12.5,0.07,39.7173,-86.294403,Indiana,797
48,Kahului Airport,OGG,PHOG,4120500.0,129400,"24,834",0.107,0.004,8.5,0.02,20.8986,-156.429993,Hawaii,54
49,Pittsburgh International Airport,PIT,KPIT,3887500.0,258489,"46,242",0.151,0.018000000000000002,12.3,0.07,40.49150085,-80.23290253,Pennsylvania,1203
50,Cincinnati Northern Kentucky International Airport,CVG,KCVG,3653300.0,254412,"44,470",0.18100000000000002,0.017,14.8,0.05,39.048801,-84.667801,Kentucky,896
51,John Glenn Columbus International Airport,CMH,KCMH,3598800.0,239533,"43,808",0.155,0.02,11.8,0.03,39.998001,-82.891899,Ohio,815
52,Palm Beach International Airport,PBI,KPBI,3245700.0,182309,"23,338",0.20600000000000002,0.017,17.6,0.06,26.68320083618164,-80.09559631347656,Florida,19
53,Jacksonville International Airport,JAX,KJAX,3164300.0,187142,"31,281",0.159,0.018000000000000002,13.1,0.08,30.49410057067871,-81.68789672851562,Florida,30
54,Bob Hope Airport,BUR,KBUR,2947600.0,186773,"29,239",0.161,0.035,10.9,0.04,34.197703,-118.356378,California,778
55,Bradley International Airport,BDL,KBDL,2838900.0,204954,"26,326",0.151,0.019,12.0,0.05,41.9388999939,-72.68319702149999,Connecticut,173
56,Ontario International Airport,ONT,KONT,2834900.0,189781,"20,556",0.152,0.015,10.1,0.02,34.055999755859375,-117.60099792480469,California,944
57,General Mitchell International Airport,MKE,KMKE,2640100.0,184263,"28,380",0.159,0.022000000000000002,12.3,0.06,42.947200775146484,-87.89659881591797,Wisconsin,723
58,Charleston International Airport,CHS,KCHS,2604900.0,137380,"23,692",0.16399999999999998,0.022000000000000002,13.4,0.05,32.898602,-80.040497,South Carolina,46
59,Ted Stevens Anchorage International Airport,ANC,PANC,2482900.0,124301,"17,600",0.09699999999999999,0.008,6.3,0.05,61.1744,-149.996002,Alaska,152
60,Albuquerque International Sunport,ABQ,KABQ,2314600.0,137221,"21,681",0.162,0.015,12.4,0.57,35.040199,-106.609001,New Mexico,5355
61,Boise Air Terminal/Gowen Field,BOI,KBOI,2226400.0,138414,"17,334",0.121,0.006999999999999999,9.6,0.05,43.5644,-116.223,Idaho,2871
62,Eppley Airfield,OMA,KOMA,2197300.0,143820,"23,789",0.161,0.02,12.8,0.28,41.3032,-95.894096,Nebraska,984
63,Memphis International Airport,MEM,KMEM,2150800.0,136518,"23,652",0.165,0.02,13.7,0.03,35.04240036010742,-89.97669982910156,Tennessee,341
64,Reno Tahoe International Airport,RNO,KRNO,2097300.0,117293,"18,360",0.14,0.015,11.3,0.1,39.49909973144531,-119.76799774169922,Nevada,4415
65,Norfolk International Airport,ORF,KORF,2060900.0000000002,128071,"22,709",0.175,0.028999999999999998,15.4,0.01,36.89459991455078,-76.20120239257812,Virginia,26
66,Richmond International Airport,RIC,KRIC,2033799.9999999998,134556,"22,785",0.166,0.019,14.0,0.1,37.50519943237305,-77.3197021484375,Virginia,167
67,Ellison Onizuka Kona International Airport at Keahole,KOA,PHKO,1998500.0,76572,"14,070",0.085,0.003,6.1,0.09,19.738783,-156.045603,Hawaii,47
68,Buffalo Niagara International Airport,BUF,KBUF,1994100.0,136996,"22,900",0.16399999999999998,0.027999999999999997,14.0,0.06,42.94049835,-78.73220062,New York,728
69,Will Rogers World Airport,OKC,KOKC,1920100.0,123232,"22,115",0.16899999999999998,0.021,14.0,0.07,35.39310073852539,-97.60070037841797,Oklahoma,1295
70,Sarasota Bradenton International Airport,SRQ,KSRQ,1909600.0,92942,"7,430",0.17600000000000002,0.01,15.0,0.02,27.39539909362793,-82.55439758300781,Florida,30
71,Spokane International Airport,GEG,KGEG,1902800.0,119839,"10,875",0.12300000000000001,0.008,10.4,0.05,47.61989974975586,-117.53399658203125,Washington,2376
72,Louisville Muhammad Ali International Airport,SDF,KSDF,1883200.0,119845,"22,237",0.162,0.018000000000000002,13.4,0.02,38.1744,-85.736,Kentucky,501
73,El Paso International Airport,ELP,KELP,1864400.0,125552,"15,531",0.158,0.016,11.9,0.01,31.80719948,-106.3779984,Texas,3959
74,Lihue Airport,LIH,PHLI,1764500.0,66609,"12,741",0.09300000000000001,0.003,8.0,0.11,21.97599983215332,-159.33900451660156,Hawaii,153
75,Savannah Hilton Head International Airport,SAV,KSAV,1723000.0,83336,"16,314",0.17800000000000002,0.021,15.9,0.02,32.12760162,-81.20210266,Georgia,50
76,Gerald R. Ford International Airport,GRR,KGRR,1712900.0,118884,"17,571",0.16899999999999998,0.027000000000000003,14.2,0.01,42.88079834,-85.52279663,Michigan,794
77,Myrtle Beach International Airport,MYR,KMYR,1701800.0,72585,"11,244",0.18899999999999997,0.023,15.6,0.02,33.6796989441,-78.9282989502,South Carolina,25
78,Tucson International Airport / Morris Air National Guard Base,TUS,KTUS,1691800.0,100275,"17,528",0.141,0.015,11.7,0.07,32.115004,-110.938053,Arizona,2643
79,Long Beach Airport (Daugherty Field),LGB,KLGB,1594000.0,100135,"14,399",0.128,0.005,9.0,0.04,33.817699,-118.152,California,60
80,Theodore Francis Green State Airport,PVD,KPVD,1564000.0,110462,"16,590",0.165,0.023,13.8,0.16,41.732601,-71.420403,Rhode Island,55
81,Palm Springs International Airport,PSP,KPSP,1498700.0,60627,"11,115",0.17600000000000002,0.017,15.1,0.02,33.8297,-116.507004,California,477
82,Tulsa International Airport,TUL,KTUL,1443700.0,92688,"15,761",0.14800000000000002,0.019,12.4,0.02,36.19839859008789,-95.88809967041016,Oklahoma,677
83,Des Moines International Airport,DSM,KDSM,1361100.0,92967,"15,560",0.15,0.021,13.0,0.01,41.534,-93.663101,Iowa,958
84,Orlando Sanford International Airport,SFB,KSFB,1359900.0,54985,"9,789",0.158,0.008,10.5,0.07,28.777599334716797,-81.23750305175781,Florida,55
85,Birmingham-Shuttlesworth International Airport,BHM,KBHM,1324400.0,83986,"17,908",0.17300000000000001,0.023,14.2,0.12,33.56290054,-86.75350189,Alabama,650
86,Albany International Airport,ALB,KALB,1275500.0,89318,"11,625",0.163,0.022000000000000002,13.8,0.05,42.74829864501953,-73.80169677734375,New York,285
87,Syracuse Hancock International Airport,SYR,KSYR,1239300.0,85638,"13,017",0.156,0.027999999999999997,14.9,0.0,43.11119842529297,-76.1063003540039,New York,421
88,Pensacola International Airport,PNS,KPNS,1210700.0,66827,"11,586",0.16,0.019,13.0,0.05,30.4734,-87.1866,Florida,121
89,McGhee Tyson Airport,TYS,KTYS,1209900.0,71373,"16,569",0.163,0.017,14.6,0.04,35.81100082,-83.9940033,Tennessee,981
90,St Petersburg Clearwater International Airport,PIE,KPIE,1202800.0,53464,"7,062",0.13699999999999998,0.003,10.0,0.11,27.91020012,-82.68740082,Florida,11
91,Greater Rochester International Airport,ROC,KROC,1155300.0,79221,"13,375",0.174,0.03,15.5,0.02,43.1189,-77.672401,New York,559
92,Gallatin Field,BZN,KBZN,1132400.0,56730,"6,241",0.16,0.006999999999999999,15.2,0.0,45.77750015,-111.1529999,Montana,4473
93,Fresno Yosemite International Airport,FAT,KFAT,1074400.0,62639,"11,325",0.157,0.011000000000000001,14.7,0.04,36.776199,-119.718002,California,336
94,City of Colorado Springs Municipal Airport,COS,KCOS,1071500.0,65947,"9,209",0.19399999999999998,0.023,20.0,0.0,38.805801,-104.700996,Colorado,6187
95,Greenville Spartanburg International Airport,GSP,KGSP,1064100.0,65465,"14,646",0.17,0.021,15.1,0.02,34.895699,-82.218903,South Carolina,964
96,Destin-Fort Walton Beach Airport,VPS,KVPS,985500.0,38873,"8,212",0.168,0.016,14.0,0.06,30.4832,-86.525398,Florida,87
97,Portland International Jetport,PWM,KPWM,981700.0,60037,"10,417",0.18100000000000002,0.027000000000000003,16.8,0.06,43.646198,-70.309303,Maine,76
98,Bill & Hillary Clinton National Airport/Adams Field,LIT,KLIT,981000.0,62186,"13,152",0.159,0.017,12.9,0.04,34.729582,-92.223728,Arkansas,262
